State,Year,Median Monthly Owner Costs (Mortgage),Median Gross Rent,Median Income
Arizona,2021,1544,1253,69056
Arkansas,2021,1147,820,52528
California,2021,2523,1750,84907
Colorado,2021,1962,1491,82254
Connecticut,2021,2083,1277,83771
Delaware,2021,1585,1208,71091
District of Columbia,2021,2639,1668,90088
Florida,2021,1616,1348,63062
Georgia,2021,1501,1153,66559
Hawaii,2021,2584,1774,84857
Idaho,2021,1425,1035,66474
Illinois,2021,1717,1106,72205
Indiana,2021,1195,905,62743
Iowa,2021,1328,847,65600
Kansas,2021,1446,904,64124
Kentucky,2021,1227,830,55573
Louisiana,2021,1349,924,52087
Maine,2021,1464,945,64767
Maryland,2021,2013,1473,90203
Massachusetts,2021,2323,1487,89645
Michigan,2021,1348,969,63498
Minnesota,2021,1667,1113,77720
Mississippi,2021,1200,831,48716
Missouri,2021,1316,882,61847
Montana,2021,1558,883,63249
Nebraska,2021,1491,912,66817
Nevada,2021,1625,1311,66274
New Hampshire,2021,2004,1263,88465
New Jersey,2021,2458,1457,89296
New Mexico,2021,1354,906,53992
New York,2021,2199,1409,74314
North Carolina,2021,1387,1026,61972
North Dakota,2021,1488,839,66519
Ohio,2021,1293,870,62262
Oklahoma,2021,1295,855,55826
Oregon,2021,1835,1282,71562
Pennsylvania,2021,1505,1036,68957
Rhode Island,2021,1932,1142,74008
South Carolina,2021,1289,976,59318
South Dakota,2021,1415,830,66143
Tennessee,2021,1333,981,59695
Texas,2021,1765,1167,66963
Utah,2021,1671,1208,79449
Vermont,2021,1664,1115,72431
Virginia,2021,1818,1331,80963
Washington,2021,2110,1484,84247
West Virginia,2021,1071,767,51248
Wisconsin,2021,1464,921,67125
Wyoming,2021,1490,889,65204
Alaska,2021,1926,1259,77845
Alabama,2022,1293,913,59674
Alaska,2022,2019,1329,88121
Arizona,2022,1616,1450,74568
Arkansas,2022,1216,846,55432
California,2022,2673,1870,91551
Colorado,2022,2098,1646,89302
Connecticut,2022,2215,1360,88429
Delaware,2022,1629,1274,82174
District of Columbia,2022,2893,1843,101027
Florida,2022,1746,1525,69303
Georgia,2022,1599,1269,72837
Hawaii,2022,2683,1813,92458
Idaho,2022,1512,1138,72785
Illinois,2022,1804,1170,76708
Indiana,2022,1281,972,66785
Iowa,2022,1411,891,69588
Kansas,2022,1542,975,68925
Kentucky,2022,1316,891,59341
Louisiana,2022,1472,984,55416
Maine,2022,1573,1033,69543
Maryland,2022,2097,1550,94991
Massachusetts,2022,2489,1634,94488
Michigan,2022,1435,1052,66986
Minnesota,2022,1784,1200,82338
Mississippi,2022,1267,873,52719
