State,Year,Median Monthly Owner Costs (Mortgage),Median Gross Rent,Median Income,Mortgage/Income (%),Rent/Income (%)
West Virginia,2018,1001,735,44097,27.24,20.0
Alabama,2018,1164,788,49861,28.01,18.96
Alaska,2018,1895,1177,74346,30.59,19.0
Arizona,2018,1417,1036,59246,28.7,20.98
Arkansas,2018,1071,731,47062,27.31,18.64
California,2018,2345,1520,75277,37.38,24.23
Colorado,2018,1741,1289,71953,29.04,21.5
Delaware,2018,1566,1108,64805,29.0,20.52
District of Columbia,2018,2506,1516,85203,35.29,21.35
Connecticut,2018,2056,1171,76348,32.32,18.41
Florida,2018,1471,1182,55462,31.83,25.57
Georgia,2018,1395,1008,58756,28.49,20.59
Idaho,2018,1249,848,55583,26.97,18.31
Hawaii,2018,2354,1613,80212,35.22,24.13
Illinois,2018,1665,995,65030,30.72,18.36
Indiana,2018,1118,820,55746,24.07,17.65
Iowa,2018,1234,777,59955,24.7,15.55
Kansas,2018,1364,840,58218,28.12,17.31
Kentucky,2018,1164,779,50247,27.8,18.6
Louisiana,2018,1254,854,47905,31.41,21.39
Maine,2018,1349,839,55602,29.11,18.11
Maryland,2018,1955,1371,83242,28.18,19.76
Massachusetts,2018,2207,1295,79835,33.17,19.47
Michigan,2018,1270,861,56697,26.88,18.22
Minnesota,2018,1559,969,70315,26.61,16.54
Mississippi,2019,1149,777,45792,30.11,20.36
Missouri,2019,1271,834,57409,26.57,17.43
Montana,2019,1466,831,57153,30.78,17.45
Nebraska,2019,1427,859,63229,27.08,16.3
Nevada,2019,1589,1168,63276,30.13,22.15
New Hampshire,2019,1963,1147,77933,30.23,17.66
New Jersey,2019,2413,1376,85751,33.77,19.26
New Mexico,2019,1269,847,51945,29.32,19.57
New York,2019,2156,1309,72108,35.88,21.78
North Carolina,2019,1318,931,57341,27.58,19.48
North Dakota,2019,1430,804,64577,26.57,14.94
Ohio,2019,1250,813,58642,25.58,16.64
Oklahoma,2019,1231,814,54449,27.13,17.94
Oregon,2019,1750,1185,67058,31.32,21.21
Pennsylvania,2019,1477,951,63463,27.93,17.98
Rhode Island,2019,1837,1043,71169,30.97,17.59
South Carolina,2019,1250,922,56227,26.68,19.68
South Dakota,2019,1371,769,59533,27.64,15.5
